
Iceland	31	185	-1.5	3.3	3.5
Ireland	62	332	2.3	3.6	4.3
United Kingdom	135	362	-5.5	3.6	3.8	
Norway	277	216	22.1	2.4	3.1
Sweden	367	231	3.3	3.3	7.7	
Finland	452	212	-3.9	2.6	6.4
Estonia	453	229	1.1	8.2	5.8
Latvia	442	274	-7.5	16.9	6.6
Lithuania	452	308	-4.5	18.9	5.4
Poland	407	349	-3.3	1.7	2.8
Germany	314	346	3.6	3.4	3.0
Netherlands	210	343	3.9	2.5	3.3
Switzerland	240	428	7.3	1.6	4.3
Czech Republic	316	380	-4.8	5.1	2.4
Austria	344	411	1.1	3.1	4.4
Slovakia	355	410	-3.8	4.4	6.2
Romania	463	466	5.8	11.8	5.4
Hungary	376	419	-6.3	4.3	3.3
Slovenia	321	440	-1.2	4.6	4.4
Croatia	340	447	6.0	10.1	6.3
Bulgaria	433	498	3.1	12.8	5.2
Italy	299	500	-1.2	1.8	8.1
France	170	401	-0.4	2.3	7.6
Spain	94	525	1.3	3.3	12.7
Portugal	35	513	-1.0	5.0	6.0
Belgium	193	369	-7.1	1.7	5.8
